GeographicCode,FSA,Population,Dwellings,Residents
E5V,E5V,797,467,347
E6A,E6A,1254,680,534
E6B,E6B,1590,816,647
E6C,E6C,2044,923,860
E6E,E6E,1512,762,621
E6G,E6G,2519,1393,1115
E6H,E6H,1210,971,509
E6J,E6J,1185,664,537
E6K,E6K,3787,2331,1613
E6L,E6L,4660,2066,1896
E7A,E7A,3707,2024,1647
E7B,E7B,5701,2587,2453
E7C,E7C,5229,2386,2267
E7E,E7E,4279,2024,1849
E7G,E7G,3720,2078,1678
E7H,E7H,5577,2685,2388
E7J,E7J,2069,941,855
E7K,E7K,2564,1134,1036
E7L,E7L,5195,2421,2123
E7M,E7M,9908,4434,4172
E7N,E7N,2966,1409,1174
E7P,E7P,3591,1600,1440
E8A,E8A,3679,1668,1577
E8B,E8B,2333,1127,1047
E8C,E8C,3544,1879,1693
E8E,E8E,5224,2472,2302
E8G,E8G,2642,1574,1306
E8J,E8J,5614,2633,2457
E8K,E8K,8668,4081,3786
E8L,E8L,2356,1084,1002
E8M,E8M,2059,993,905
E8N,E8N,2549,1586,1262
E8P,E8P,3450,1609,1454
E8R,E8R,3174,1573,1404
E8S,E8S,4578,2247,1951
E8T,E8T,5758,3043,2591
E9A,E9A,2254,1157,1009
E9B,E9B,2336,1141,969
E9C,E9C,2115,1254,981
E9E,E9E,3953,1949,1690
E9G,E9G,5290,2372,2150
E9H,E9H,3041,1415,1281
G0A,G0A,86140,43053,36136
G0C,G0C,47114,23744,21386
G0E,G0E,4773,3066,2263
G0G,G0G,17665,9023,7073
G0H,G0H,10540,5245,4604
G0J,G0J,29251,16484,13404
G0K,G0K,11587,6569,5152
G0L,G0L,59524,31620,25998
G0M,G0M,34021,16488,14297
G0N,G0N,19489,10930,8728
G0P,G0P,6816,3350,2841
G0R,G0R,83573,43268,36455
G0S,G0S,68020,30523,28081
G0T,G0T,14063,7725,6323
G0V,G0V,17614,9945,7386
G0W,G0W,36076,17743,14226
G0X,G0X,58779,32162,26101
G0Y,G0Y,9052,5872,4063
G0Z,G0Z,8596,4132,3686
G1A,G1A,0,1,1
G1B,G1B,16337,6397,6291
G1C,G1C,36407,15798,15529
G1E,G1E,27071,14055,13295
G1G,G1G,24695,11239,10978
G1H,G1H,29105,15114,14487
G1J,G1J,23388,13732,12910
G1K,G1K,18309,12086,10965
G1L,G1L,22729,13519,12715
G1M,G1M,19697,9744,9343
G1N,G1N,8053,5006,4700
G1P,G1P,16514,8286,8057
G1R,G1R,16663,12127,10345
G1S,G1S,25741,14412,13312
G1T,G1T,6378,2673,2562
G1V,G1V,18530,12727,9904
G1W,G1W,21091,10722,10090
G1X,G1X,25855,13023,12434
G1Y,G1Y,12653,5287,5222
G2A,G2A,15482,6449,6327
G2B,G2B,24546,11082,10706
G2C,G2C,11767,5681,5549
G2E,G2E,20674,8948,8792
G2G,G2G,10676,4705,4616
G2J,G2J,2953,1662,1579
G2K,G2K,10961,5462,5255
G2L,G2L,14090,6315,6248
G2M,G2M,5301,2178,2140
G2N,G2N,8134,3393,3313
G3A,G3A,19198,7838,7344
G3B,G3B,7925,3097,2901
G3C,G3C,8977,4166,3488
G3E,G3E,15629,5926,5868
G3G,G3G,10098,4036,3946
G3H,G3H,9252,3944,3765
G3J,G3J,10341,4338,4246
G3K,G3K,18534,7251,7158
G3L,G3L,10309,5416,4479
G3M,G3M,7200,3180,3111
G3N,G3N,9942,4709,3949
G3Z,G3Z,7142,3667,3229
G4A,G4A,3085,1481,1394
G4R,G4R,20973,9967,9027
G4S,G4S,5208,2278,2196
G4T,G4T,12475,6477,5534
G4V,G4V,6616,3457,3108
G4W,G4W,14326,7427,6871
G4X,G4X,14568,7074,6412
G4Z,G4Z,9859,4805,4425
G5A,G5A,8332,4636,3816
G5B,G5B,6294,2960,2688
G5C,G5C,11771,5536,5271
G5H,G5H,6789,3352,3127
G5J,G5J,6221,3031,2882
G5L,G5L,29258,15839,14470
G5M,G5M,8471,3657,3574
G5N,G5N,7969,3378,3283
G5R,G5R,19500,9771,9070
G5T,G5T,2863,1530,1343
G5V,G5V,11255,5651,5281
G5X,G5X,6290,2841,2731
G5Y,G5Y,23460,11366,10985
G5Z,G5Z,6882,2841,2799
G6A,G6A,2330,873,865
G6B,G6B,8179,4081,3736
G6C,G6C,7046,2846,2794
G6E,G6E,13537,5845,5641
G6G,G6G,19707,10043,9445
G6H,G6H,7142,3345,3134
G6J,G6J,10513,4089,4029
G6K,G6K,8366,3170,3148
G6L,G6L,15172,6996,6691
G6P,G6P,29233,14619,14024
G6R,G6R,4598,1754,1715
G6S,G6S,5029,2039,1977
G6T,G6T,10291,4141,4082
G6V,G6V,31698,16046,15222
G6W,G6W,23942,11296,10990
G6X,G6X,9751,4774,4645
G6Y,G6Y,5618,2312,2237
G6Z,G6Z,23607,9112,9005
G7A,G7A,22834,8925,8695
G7B,G7B,17957,8356,8000
G7G,G7G,16737,7225,7055
G7H,G7H,28516,15055,13960
G7J,G7J,14860,7262,7024
G7K,G7K,648,320,307
G7N,G7N,6367,2686,2541
G7P,G7P,7244,3205,2960
G7S,G7S,20099,8752,8494
G7T,G7T,901,389,374
G7X,G7X,25725,13776,12654
G7Y,G7Y,622,294,272
G7Z,G7Z,2823,1096,1092
G8A,G8A,6179,2802,2701
G8B,G8B,22664,10933,10388
G8C,G8C,4209,1713,1702
G8E,G8E,3841,1638,1540
G8G,G8G,3991,2090,1739
G8H,G8H,10303,4934,4611
G8J,G8J,4154,2545,1749
G8K,G8K,10238,5022,4533
G8L,G8L,14753,7034,6465
G8M,G8M,5286,2359,2252
G8N,G8N,2533,1251,1070
G8P,G8P,7537,3552,3270
G8T,G8T,28121,14539,13781
G8V,G8V,9484,3960,3850
G8W,G8W,10311,4569,4383
G8Y,G8Y,32509,15902,15208
G8Z,G8Z,13573,7789,6687
G9A,G9A,20220,12453,10983
G9B,G9B,16948,7204,6941
G9C,G9C,3247,1355,1324
G9H,G9H,13028,6028,5692
G9N,G9N,16114,9706,8509
G9P,G9P,11318,5605,5371
G9R,G9R,2274,1006,931
G9T,G9T,15914,8563,7918
G9X,G9X,10745,6364,5176
H0M,H0M,1202,763,364
H1A,H1A,32516,14287,13832
H1B,H1B,20160,9400,9042
H1C,H1C,14678,4734,4685
H1E,H1E,42420,16941,16437
H1G,H1G,48556,21206,19661
H1H,H1H,36127,16746,15448
H1J,H1J,10308,4893,4772
H1K,H1K,34821,14743,14110
H1L,H1L,33468,17255,16096
H1M,H1M,29359,14691,13940
H1N,H1N,23870,12299,11594
H1P,H1P,18063,7606,7274
H1R,H1R,30903,12395,11761
H1S,H1S,25737,10897,10402
H1T,H1T,31338,16356,15321
H1V,H1V,22086,12408,11622
H1W,H1W,28889,17043,15737
H1X,H1X,30366,16869,15826
H1Y,H1Y,27172,15256,14122
H1Z,H1Z,35472,14627,13498
H2A,H2A,19651,9157,8574
H2B,H2B,17678,9255,8540
H2C,H2C,18692,9151,8698
H2E,H2E,24297,12582,11760
