GeographicCode,FSA,Population,Dwellings,Residents
L5K,L5K,13967,4722,4669
L5L,L5L,44860,15619,15262
L5M,L5M,104868,32003,31049
L5N,L5N,84829,27354,27003
L5R,L5R,37126,12508,12064
L5S,L5S,5,1,1
L5T,L5T,5,10,4
L5V,L5V,50821,13858,13621
L5W,L5W,24871,6370,6294
L6A,L6A,85794,25222,24787
L6B,L6B,29411,8497,8298
L6C,L6C,50929,15344,15045
L6E,L6E,36356,10714,10561
L6G,L6G,5370,3139,2752
L6H,L6H,60913,21246,20544
L6J,L6J,24673,8639,8313
L6K,L6K,13009,6236,5771
L6L,L6L,29742,11708,11296
L6M,L6M,65493,20788,20345
L6P,L6P,82182,19288,18807
L6R,L6R,88002,21754,21089
L6S,L6S,53308,17526,16925
L6T,L6T,38451,13943,13419
L6V,L6V,41853,14529,13913
L6W,L6W,22128,8381,8107
L6X,L6X,67070,19891,19341
L6Y,L6Y,87654,26401,25363
L6Z,L6Z,32749,10267,9944
L7A,L7A,80236,21449,21103
L7B,L7B,14863,5104,4745
L7C,L7C,24632,7875,7599
L7E,L7E,33934,11128,10894
L7G,L7G,46057,16025,15745
L7J,L7J,13634,5026,4924
L7K,L7K,8231,3123,2857
L7L,L7L,46761,17484,17232
L7M,L7M,47925,16791,16709
L7N,L7N,12972,5365,5290
L7P,L7P,29700,11065,10910
L7R,L7R,15866,7752,7516
L7S,L7S,12191,6322,6106
L7T,L7T,17728,7666,7532
L8E,L8E,39398,14798,14397
L8G,L8G,21547,9207,9059
L8H,L8H,25892,11720,11086
L8J,L8J,24381,7885,7801
L8K,L8K,31449,14097,13713
L8L,L8L,30825,14463,12532
L8M,L8M,13533,7053,6224
L8N,L8N,13819,8087,7086
L8P,L8P,22734,13919,12799
L8R,L8R,10817,5767,5126
L8S,L8S,14311,8644,6449
L8T,L8T,19042,7878,7749
L8V,L8V,21207,9626,9389
L8W,L8W,25793,8417,8347
L9A,L9A,24904,10074,9886
L9B,L9B,24033,8079,7969
L9C,L9C,40155,15018,14612
L9E,L9E,723,395,205
L9G,L9G,23560,8431,8305
L9H,L9H,31125,12548,12272
L9J,L9J,596,279,262
L9K,L9K,14264,4404,4353
L9L,L9L,14897,5934,5709
L9M,L9M,14825,8424,6076
L9N,L9N,11533,3944,3864
L9P,L9P,16814,6326,6132
L9R,L9R,21313,8440,8229
L9S,L9S,28567,11360,10398
L9T,L9T,103839,32977,32125
L9V,L9V,13643,4783,4703
L9W,L9W,44867,16430,16027
L9Y,L9Y,24766,15276,10918
L9Z,L9Z,20647,12494,8998
M1B,M1B,66108,20957,20230
M1C,M1C,35626,11588,11274
M1E,M1E,46943,17637,17161
M1G,M1G,29690,10116,9767
M1H,M1H,24383,9274,8985
M1J,M1J,36699,12797,12274
M1K,M1K,48434,18620,17930
M1L,M1L,35081,12884,12428
M1M,M1M,22913,8908,8623
M1N,M1N,22136,9535,9095
M1P,M1P,45571,17129,16540
M1R,M1R,29858,11141,10767
M1S,M1S,37769,13195,12644
M1T,M1T,34588,13394,12949
M1V,M1V,54680,16449,16092
M1W,M1W,48471,16597,16173
M1X,M1X,15097,3739,3649
M2H,M2H,24497,9093,8700
M2J,M2J,58293,22524,21876
M2K,M2K,23852,11147,10540
M2L,M2L,11717,4154,3974
M2M,M2M,32320,13086,12399
M2N,M2N,75897,36123,33765
M2P,M2P,7843,3155,3020
M2R,M2R,40792,16062,15575
M3A,M3A,34615,13847,13241
M3B,M3B,13324,5193,5001
M3C,M3C,39153,16199,15851
M3H,M3H,37011,14921,14226
M3J,M3J,25473,10196,9407
M3K,M3K,5997,2290,2208
M3L,M3L,17339,6656,5824
M3M,M3M,24046,9706,9234
M3N,M3N,41958,14523,13841
M4A,M4A,14443,6299,6170
M4B,M4B,18628,7872,7599
M4C,M4C,46866,20178,19431
M4E,M4E,25044,11284,10784
M4G,M4G,19076,8108,7731
M4H,M4H,19688,6475,6415
M4J,M4J,35738,15312,14754
M4K,M4K,31583,15198,14556
M4L,M4L,32640,14634,13901
M4M,M4M,24689,11393,10787
M4N,M4N,15330,6497,6190
M4P,M4P,20039,12207,11487
M4R,M4R,11394,5332,5036
M4S,M4S,26506,14011,13397
M4T,M4T,10463,5499,5212
M4V,M4V,18241,10308,9666
M4W,M4W,14561,7918,7267
M4X,M4X,20822,10809,10306
M4Y,M4Y,30472,21975,19665
M5A,M5A,41078,24186,22333
M5B,M5B,12785,8249,7058
M5C,M5C,2951,1879,1721
M5E,M5E,9118,6232,5682
M5G,M5G,8423,5876,4929
M5H,M5H,2005,1718,1243
M5J,M5J,14545,9913,8649
M5K,M5K,0,1,1
M5L,M5L,0,1,1
M5M,M5M,25975,9824,9408
M5N,M5N,16610,6889,6486
M5P,M5P,19423,10078,9350
M5R,M5R,26496,15786,13953
M5S,M5S,15372,9380,7878
M5T,M5T,17748,9480,8537
M5V,M5V,49195,35058,30726
M5W,M5W,15,11,9
M5X,M5X,10,5,3
M6A,M6A,21048,8751,8074
M6B,M6B,28522,11375,10728
M6C,M6C,24596,11043,10484
M6E,M6E,38041,15809,14721
M6G,M6G,32086,14312,13424
M6H,M6H,44950,20573,19209
M6J,M6J,32684,16333,15063
M6K,M6K,40957,23344,22023
M6L,M6L,20616,7611,7387
M6M,M6M,42434,16799,16020
M6N,M6N,41243,17239,16250
M6P,M6P,40035,19924,18972
M6R,M6R,19857,9205,8598
M6S,M6S,34299,15261,14655
M7A,M7A,10,6,5
M7Y,M7Y,10,7,7
M8V,M8V,37975,22268,19601
M8W,M8W,20674,9161,8770
M8X,M8X,10787,4680,4523
M8Y,M8Y,21299,10485,9782
M8Z,M8Z,17038,7046,6782
M9A,M9A,35594,15730,15119
M9B,M9B,32400,12617,12292
M9C,M9C,38291,15402,15111
M9L,M9L,11950,4122,3746
M9M,M9M,22263,7757,7310
M9N,M9N,25074,10713,10171
M9P,M9P,20874,8198,7906
M9R,M9R,33743,12755,12336
M9V,M9V,55959,17590,16808
M9W,M9W,40684,14487,13704
N0A,N0A,29853,13934,12148
N0B,N0B,80222,28639,27697
N0C,N0C,15438,7727,6087
N0E,N0E,34772,14817,12882
N0G,N0G,83818,34954,31871
N0H,N0H,48330,32659,20863
N0J,N0J,32428,11664,11235
N0K,N0K,24378,9147,8823
N0L,N0L,46908,18494,17687
N0M,N0M,64764,30347,25829
N0N,N0N,40649,18043,16158
N0P,N0P,52190,23164,20931
N0R,N0R,46403,18471,16941
N1A,N1A,12000,5255,4784
N1C,N1C,3829,1244,1236
N1E,N1E,40591,16553,16063
N1G,N1G,27330,12615,10554
N1H,N1H,43789,19963,19077
N1K,N1K,9266,2880,2854
N1L,N1L,14311,5367,4917
N1M,N1M,15998,6696,6319
N1P,N1P,7594,2338,2328
N1R,N1R,42210,17534,16948
N1S,N1S,19510,7760,7602
N1T,N1T,17670,5304,5244
N2A,N2A,29858,11360,11125
N2B,N2B,16501,7256,7115
N2C,N2C,16111,7219,6912
N2E,N2E,39149,13901,13692
N2G,N2G,13407,7718,7044
N2H,N2H,21058,10982,10273
N2J,N2J,18659,10335,8691
N2K,N2K,27253,9747,9607
N2L,N2L,27758,15798,11944
N2M,N2M,33221,15003,14504
N2N,N2N,26490,8907,8812
N2P,N2P,19975,7236,6963
N2R,N2R,12302,4008,3952
N2T,N2T,20701,6980,6909
N2V,N2V,16900,5563,5461
N2Z,N2Z,10856,6044,4674
N3A,N3A,16123,5966,5907
N3B,N3B,12418,4466,4400
N3C,N3C,26662,9272,9161
N3E,N3E,279,92,92
N3H,N3H,21544,9163,8896
N3L,N3L,14684,5665,5519
N3P,N3P,8597,3192,3142
N3R,N3R,34276,14393,14030
N3S,N3S,25765,11461,10943
N3T,N3T,34317,13698,13042
N3V,N3V,1607,551,549
N3W,N3W,13409,4847,4805
N3Y,N3Y,22419,9919,9461
N4B,N4B,7772,3271,3169
N4G,N4G,19389,8567,8346
N4K,N4K,28286,13102,12441
N4L,N4L,8117,4180,3620
N4N,N4N,9901,4402,4227
N4S,N4S,32254,14111,13758
N4T,N4T,10818,4264,4208
N4V,N4V,2983,1141,1119
N4W,N4W,11199,4471,4254
N4X,N4X,9791,4041,3938
N4Z,N4Z,2432,903,892
N5A,N5A,31302,14233,13777
N5C,N5C,14856,5954,5829
N5H,N5H,15199,5535,5295
N5L,N5L,2795,1646,1304
N5P,N5P,19945,8456,8158
N5R,N5R,27368,11718,11440
N5V,N5V,30857,13021,12176
N5W,N5W,23250,11949,11082
N5X,N5X,32897,12663,12236
N5Y,N5Y,34037,16251,15225
N5Z,N5Z,23755,10947,10491
N6A,N6A,11317,9086,6160
N6B,N6B,10103,6967,6120
N6C,N6C,30510,14957,14333
N6E,N6E,27508,10342,10187
N6G,N6G,40677,17075,14956
N6H,N6H,40604,19456,18155
N6J,N6J,26943,12931,12536
N6K,N6K,34766,14106,13769
N6L,N6L,3023,943,915
N6M,N6M,5747,1920,1905
N6N,N6N,671,291,272
N6P,N6P,8796,3316,3249
N7A,N7A,11720,6224,5237
N7G,N7G,17880,7160,7017
N7L,N7L,24724,11268,10891
N7M,N7M,24479,10992,10396
N7S,N7S,27879,11385,11117
N7T,N7T,26347,14051,13122
N7V,N7V,11877,5737,5588
N7W,N7W,1935,951,945
N7X,N7X,1094,465,446
N8A,N8A,13975,6473,6030
N8H,N8H,25905,10088,9422
N8M,N8M,11110,4560,4478
N8N,N8N,24162,9374,9253
N8P,N8P,12195,4676,4613
N8R,N8R,12085,4350,4285
N8S,N8S,21819,10681,10475
N8T,N8T,17658,7875,7695
N8W,N8W,23796,9902,9681
N8X,N8X,15575,7771,7172
N8Y,N8Y,18935,9869,9214
N9A,N9A,25160,14279,12303
N9B,N9B,17804,8138,7020
N9C,N9C,11484,6021,5187
N9E,N9E,20688,7642,7541
N9G,N9G,19787,6520,6401
N9H,N9H,10227,3653,3639
N9J,N9J,19358,6956,6860
N9K,N9K,2761,796,795
N9V,N9V,20208,8195,7880
N9Y,N9Y,14814,6049,5718
P0A,P0A,16481,15204,7421
P0B,P0B,9138,9088,3803
P0C,P0C,3834,6501,1713
P0E,P0E,3149,3171,1352
P0G,P0G,3119,4818,1406
P0H,P0H,31187,16641,12827
P0J,P0J,20848,10032,8996
P0K,P0K,11374,6403,5069
P0L,P0L,24896,11320,9763
P0M,P0M,49750,25244,20929
P0N,P0N,9420,4388,3841
P0P,P0P,19461,12688,8273
P0R,P0R,12479,8586,5545
P0S,P0S,9869,6598,4268
P0T,P0T,33027,18650,13680
P0V,P0V,21722,9141,6931
P0W,P0W,6410,3909,2489
P0X,P0X,8133,6454,3098
P0Y,P0Y,30,211,18
P1A,P1A,16586,7608,7124
P1B,P1B,32345,16493,14725
P1C,P1C,3395,1167,1149
P1H,P1H,16271,9340,6823
P1L,P1L,16548,9258,6954
P1P,P1P,10393,6743,4186
P2A,P2A,12990,9449,5680
P2B,P2B,9747,4548,4324
P2N,P2N,7188,4095,3475
P3A,P3A,24053,10613,10101
P3B,P3B,15548,8121,7324
P3C,P3C,16249,10022,8490
P3E,P3E,27210,13659,12308
P3G,P3G,4001,1709,1532
P3L,P3L,8036,3238,3108
P3N,P3N,8125,3163,3069
P3P,P3P,15468,5867,5661
P3Y,P3Y,7455,3068,2917
P4N,P4N,24575,12018,10994
P4P,P4P,3367,1326,1281
P4R,P4R,4847,1867,1815
P5A,P5A,10741,6259,5514
P5E,P5E,5229,2477,2292
P5N,P5N,8467,4159,3870
P6A,P6A,34720,16407,15112
P6B,P6B,22847,10948,10488
P6C,P6C,19322,8842,8453
P7A,P7A,28418,14372,12949
P7B,P7B,21917,11123,9944
P7C,P7C,21880,10008,9403
P7E,P7E,20997,10333,9700
P7G,P7G,12432,5305,4619
P7J,P7J,5130,1882,1803
P7K,P7K,6521,2552,2520
P7L,P7L,1942,1079,797
P8N,P8N,10048,4481,4293
P8T,P8T,5002,2103,1902
P9A,P9A,10651,5602,4495
P9N,P9N,14009,6854,5902
R0A,R0A,46213,17934,15208
R0B,R0B,48048,13648,11378
R0C,R0C,52620,27256,19948
R0E,R0E,46836,28967,18344
R0G,R0G,44069,16537,15573
R0H,R0H,16938,5481,4948
R0J,R0J,27342,14437,10970
R0K,R0K,27772,12167,10594
R0L,R0L,26815,13391,11061
R0M,R0M,19864,9426,8064
R1A,R1A,21390,8393,8164
R1B,R1B,252,143,140
R1C,R1C,3714,1407,1393
R1N,R1N,16788,7104,6767
R2C,R2C,33556,12841,12648
R2E,R2E,9256,3266,3224
R2G,R2G,33030,15189,14625
R2H,R2H,15914,8016,7619
R2J,R2J,26499,10733,10472
R2K,R2K,33413,13523,13228
R2L,R2L,14818,6606,6271
R2M,R2M,38195,17067,16581
R2N,R2N,30306,11498,11282
R2P,R2P,32557,9985,9828
R2R,R2R,21377,6715,6353
R2V,R2V,35235,14043,13630
R2W,R2W,28874,12415,10861
R2X,R2X,19149,6959,6591
R2Y,R2Y,19887,8543,8410
R3A,R3A,4711,2166,1640
R3B,R3B,12963,6851,5835
R3C,R3C,14364,9756,8605
R3E,R3E,19703,7517,6958
R3G,R3G,25490,11051,10418
R3H,R3H,106,49,38
R3J,R3J,27636,12835,12379
R3K,R3K,12444,5389,5281
R3L,R3L,20078,11516,10955
R3M,R3M,22582,10806,10358
R3N,R3N,16847,7541,7328
R3P,R3P,19605,7434,7194
R3R,R3R,24684,9923,9814
R3S,R3S,538,180,176
R3T,R3T,48009,19623,18638
R3V,R3V,6400,2474,2405
R3W,R3W,9845,3281,3220
R3X,R3X,17962,5956,5854
R3Y,R3Y,21896,7108,6840
R4A,R4A,4520,1497,1487
R4G,R4G,1174,371,367
R4H,R4H,2611,748,727
R4J,R4J,953,341,334
R4K,R4K,883,212,204
R4L,R4L,1219,438,422
R5A,R5A,3408,1227,1207
R5G,R5G,21738,7984,7673
R5H,R5H,5839,2192,2150
R6M,R6M,10229,4114,3957
R6W,R6W,20229,6430,6316
R7A,R7A,29405,12840,12000
R7B,R7B,20977,8850,8505
R7C,R7C,2448,1324,1229
R7N,R7N,10321,4811,4407
R8A,R8A,5300,2788,2397
R8N,R8N,13848,5549,4977
R9A,R9A,6673,2886,2580
S0A,S0A,52641,27875,22724
S0C,S0C,23395,11902,9439
S0E,S0E,32755,15953,13433
S0G,S0G,63488,32196,25622
S0H,S0H,22746,11569,9473
S0J,S0J,49995,24869,16778
S0K,S0K,89853,36787,33015
S0L,S0L,30870,14629,12447
S0M,S0M,48321,22858,16620
S0N,S0N,21447,10149,8206
S0P,S0P,7249,2259,1904
S2V,S2V,865,555,344
S3N,S3N,18658,8412,7863
S4A,S4A,12481,5719,5038
S4H,S4H,11193,5254,4705
S4L,S4L,5646,1887,1838
S4M,S4M,153,77,74
S4N,S4N,31167,12834,12260
S4P,S4P,13423,8089,7176
S4R,S4R,35561,14862,14273
S4S,S4S,34958,15107,14501
S4T,S4T,31932,15149,13693
S4V,S4V,28386,11211,10530
S4W,S4W,8283,3706,3156
S4X,S4X,27895,10875,10491
S4Y,S4Y,4537,1500,1486
S4Z,S4Z,1200,634,582
S6H,S6H,27471,13150,12034
S6J,S6J,5317,2350,2161
S6K,S6K,1415,493,475
S6V,S6V,41092,17098,15496
S6W,S6W,141,90,70
S6X,S6X,2141,713,697
S7H,S7H,35686,17129,15780
S7J,S7J,31223,13279,12694
S7K,S7K,39174,18180,16844
S7L,S7L,39478,15728,14670
S7M,S7M,31112,13868,12256
S7N,S7N,27214,12361,11311
S7P,S7P,158,51,49
S7R,S7R,8056,2663,2589
S7S,S7S,5906,2325,2164
S7T,S7T,13202,5387,4797
S7V,S7V,10780,4293,4009
S7W,S7W,13625,5268,4652
S9A,S9A,15547,6916,6317
S9H,S9H,18070,8241,7712
S9V,S9V,14694,6082,5420
S9X,S9X,7798,3005,2759
T0A,T0A,59234,27713,21711
T0B,T0B,64072,28009,24427
T0C,T0C,62701,28739,23081
T0E,T0E,43729,22179,16779
T0G,T0G,42905,18519,15103
T0H,T0H,84336,33105,28826
T0J,T0J,50783,19938,17953
T0K,T0K,55487,20521,17681
T0L,T0L,61161,23366,21063
T0M,T0M,67484,29041,25889
T0P,T0P,3631,1627,1241
T0V,T0V,19,19,7
T1A,T1A,25409,12276,11501
T1B,T1B,32769,13312,12851
T1C,T1C,9391,3970,3817
T1G,T1G,10339,3956,3721
T1H,T1H,27385,11443,11050
T1J,T1J,22960,10245,9438
T1K,T1K,45932,19288,18129
T1L,T1L,7442,2581,2398
T1M,T1M,9379,3423,3358
T1P,T1P,16843,6537,6235
T1R,T1R,17011,6373,5965
T1S,T1S,32951,11317,11075
T1V,T1V,15593,6424,6082
T1W,T1W,14755,8416,6047
T1X,T1X,22496,7192,7017
T1Y,T1Y,57237,19139,18220
T1Z,T1Z,639,150,127
T2A,T2A,59641,22652,21108
T2B,T2B,23418,9953,9313
T2C,T2C,20406,8332,8011
T2E,T2E,34729,17958,16619
T2G,T2G,14370,8593,7457
T2H,T2H,9372,4395,4157
T2J,T2J,46394,18714,18285
T2K,T2K,35544,15376,14728
T2L,T2L,14214,6539,6146
T2M,T2M,21086,9925,9074
T2N,T2N,26342,12601,11561
T2P,T2P,13056,8723,7215
T2R,T2R,13879,10715,8981
T2S,T2S,14637,8485,7727
T2T,T2T,29706,15860,14501
T2V,T2V,33450,15417,14642
T2W,T2W,42377,17227,16703
T2X,T2X,43339,15029,14543
T2Y,T2Y,61344,21111,20886
T2Z,T2Z,68438,24669,24417
T3A,T3A,53224,19393,18949
T3B,T3B,37348,15638,15164
T3C,T3C,23519,12429,11111
T3E,T3E,41415,18806,17855
T3G,T3G,59025,21018,20685
T3H,T3H,71251,25098,24777
T3J,T3J,77605,20910,20223
T3K,T3K,80792,27353,27044
T3L,T3L,30168,10093,10014
T3M,T3M,40268,14202,13682
T3N,T3N,12483,4042,3835
T3P,T3P,15578,5038,4859
T3R,T3R,23866,8045,7657
T3S,T3S,303,125,116
T3Z,T3Z,11209,3736,3634
T4A,T4A,16054,5878,5718
T4B,T4B,48548,17592,16974
T4C,T4C,30566,12051,11414
T4E,T4E,2252,911,831
T4G,T4G,12696,5494,4676
T4H,T4H,12316,5212,4869
T4J,T4J,11373,4761,4445
T4L,T4L,17128,6947,6309
T4M,T4M,4742,1736,1606
T4N,T4N,33829,16755,15311
T4P,T4P,32478,12802,12315
T4R,T4R,36570,13663,13260
T4S,T4S,20374,9155,7747
T4T,T4T,13389,5433,5029
T4V,T4V,20843,9243,8769
T4X,T4X,20715,7279,6765
T5A,T5A,35049,14221,13484
T5B,T5B,15746,8036,7063
T5C,T5C,16192,6526,6135
T5E,T5E,32242,12636,11930
T5G,T5G,12793,6573,5669
T5H,T5H,26290,15596,13111
T5J,T5J,5281,3930,3204
T5K,T5K,22814,15770,14230
T5L,T5L,17124,6841,6461
T5M,T5M,15261,7342,6658
T5N,T5N,14579,7670,6912
T5P,T5P,21557,10130,9251
T5R,T5R,25867,10211,9848
T5S,T5S,4843,2086,1964
T5T,T5T,69914,27047,25910
T5V,T5V,146,52,49
T5W,T5W,20652,8971,8414
T5X,T5X,41912,15073,14662
T5Y,T5Y,45947,17081,16083
T5Z,T5Z,30715,10503,9920
T6A,T6A,14767,6759,6241
T6B,T6B,9503,4257,4011
T6C,T6C,20587,10001,9287
T6E,T6E,22674,13932,12143
T6G,T6G,12634,6636,5377
T6H,T6H,30171,13127,12287
T6J,T6J,47109,19266,18391
T6K,T6K,29838,10669,10349
T6L,T6L,51562,18415,17779
T6M,T6M,28187,10006,9445
T6N,T6N,25,1,1
T6P,T6P,1798,884,846
T6R,T6R,45145,16082,15436
T6S,T6S,96,54,40
T6T,T6T,37150,11270,10919
T6V,T6V,19927,6895,6621
T6W,T6W,50904,21001,18977
T6X,T6X,35649,12428,11747
T7A,T7A,11756,4872,4440
T7E,T7E,13989,6079,5426
T7N,T7N,7795,3256,3119
T7P,T7P,7536,3182,2950
T7S,T7S,12691,5171,4645
T7V,T7V,10575,4652,4197
T7X,T7X,44071,16767,15968
T7Y,T7Y,6891,2495,2406
T7Z,T7Z,26014,10269,9765
T8A,T8A,43987,16225,16057
T8B,T8B,6440,2228,2156
T8C,T8C,4502,1575,1537
T8E,T8E,8104,2910,2825
T8G,T8G,4848,1881,1769
T8H,T8H,28688,10978,10710
T8L,T8L,26423,10797,10057
T8N,T8N,65527,24439,23947
T8R,T8R,15088,5488,5233
T8S,T8S,8007,3377,3007
T8T,T8T,7037,2500,2335
T8V,T8V,31893,14508,12865
T8W,T8W,21466,7796,7338
T8X,T8X,19287,7214,6645
T9A,T9A,15660,6736,6236
T9C,T9C,6831,3219,2866
T9E,T9E,31710,13006,11968
T9G,T9G,7159,2757,2634
T9H,T9H,26732,12129,10054
T9J,T9J,3630,1780,1382
T9K,T9K,39305,15844,13541
T9M,T9M,18253,7892,6716
T9N,T9N,9082,3775,3369
T9S,T9S,6898,3385,2704
T9V,T9V,20959,8919,7893
T9W,T9W,8062,3391,3137
T9X,T9X,5841,2724,2412
V0A,V0A,13920,9089,5984
V0B,V0B,33080,20312,14583
V0C,V0C,28830,13041,10824
V0E,V0E,65606,37976,28846
V0G,V0G,26047,13969,11841
V0H,V0H,53380,29157,23835
V0J,V0J,52919,24666,20967
V0K,V0K,32908,20106,14878
V0L,V0L,4577,2619,1939
V0M,V0M,11761,5425,4539
V0N,V0N,79501,49181,34321
V0P,V0P,6726,4491,3190
V0R,V0R,66795,34690,29112
V0S,V0S,266,159,105
V0T,V0T,8645,4414,3584
V0V,V0V,2033,969,703
V0W,V0W,557,514,281
V0X,V0X,20629,11525,9154
V1A,V1A,8414,4702,3758
V1B,V1B,21395,9458,8188
V1C,V1C,25413,11085,10668
V1E,V1E,19344,8538,8132
V1G,V1G,15676,7456,6375
V1H,V1H,13427,7393,5871
V1J,V1J,23782,10884,9291
V1K,V1K,9265,4286,3893
V1L,V1L,16801,8321,7604
V1M,V1M,31176,11553,11212
V1N,V1N,12546,5835,5446
V1P,V1P,8028,3440,2851
V1R,V1R,10021,5112,4727
V1S,V1S,11279,4428,4246
V1T,V1T,27997,13376,12761
V1V,V1V,21155,9347,8659
V1W,V1W,34573,14778,13764
V1X,V1X,33273,14135,13489
V1Y,V1Y,34310,17952,16721
V1Z,V1Z,14368,6359,5639
V2A,V2A,37469,18518,17269
V2B,V2B,39843,17113,16215
V2C,V2C,23661,11685,10542
V2E,V2E,14672,5802,5569
V2G,V2G,17970,8238,7488
V2H,V2H,6201,2878,2622
V2J,V2J,22667,10445,9812
V2K,V2K,20924,8684,8248
V2L,V2L,9947,4835,4371
V2M,V2M,23318,10727,9964
V2N,V2N,32137,12978,12366
V2P,V2P,36329,15937,15171
V2R,V2R,48608,19769,18613
V2S,V2S,48647,19973,19088
V2T,V2T,56111,19304,18133
V2V,V2V,33534,12865,11915
V2W,V2W,19022,6383,6114
V2X,V2X,47944,19786,19141
V2Y,V2Y,35222,12739,12205
V2Z,V2Z,15520,6052,5791
V3A,V3A,42397,18582,17945
V3B,V3B,56524,23040,21861
V3C,V3C,38818,14989,14419
V3E,V3E,39365,13281,12758
V3G,V3G,24150,8477,8054
V3H,V3H,37222,14627,14207
V3J,V3J,40921,17225,16124
V3K,V3K,30495,12353,11690
V3L,V3L,27724,13215,12659
V3M,V3M,43423,21074,20102
V3N,V3N,39354,15148,14496
V3R,V3R,57844,21060,20061
V3S,V3S,95349,31890,29782
V3T,V3T,38549,16854,15416
V3V,V3V,48927,15176,14108
V3W,V3W,92447,28851,27186
V3X,V3X,28510,8976,8248
V3Y,V3Y,18861,7445,7267
V3Z,V3Z,29265,11493,10499
V4A,V4A,36390,15450,14854
V4B,V4B,19952,10856,10005
V4C,V4C,44169,14979,13861
V4E,V4E,11839,3941,3799
V4G,V4G,86,41,36
V4K,V4K,24414,9566,9346
V4L,V4L,7893,3532,3424
V4M,V4M,14512,5849,5566
V4N,V4N,78675,26534,25159
V4P,V4P,12224,5006,4766
V4R,V4R,15285,5232,5007
V4S,V4S,7326,2556,2453
V4T,V4T,27996,12021,11332
V4V,V4V,14614,7235,5953
V4W,V4W,19443,7378,6994
V4X,V4X,12774,4112,3856
V4Z,V4Z,4851,1900,1599
V5A,V5A,23960,9741,9177
V5B,V5B,22454,8842,8371
V5C,V5C,30408,13518,12828
V5E,V5E,26272,10944,10393
V5G,V5G,19862,7476,7040
V5H,V5H,38845,19530,17889
V5J,V5J,21918,8388,7721
V5K,V5K,23016,9129,8504
V5L,V5L,19720,10810,10272
V5M,V5M,23053,8909,8241
V5N,V5N,35045,15331,14351
V5P,V5P,31920,11594,10466
V5R,V5R,46565,19034,16927
V5S,V5S,28773,11155,10450
V5T,V5T,23911,13710,12924
V5V,V5V,24560,10065,9253
V5W,V5W,19706,7935,7111
V5X,V5X,28820,10751,9340
V5Y,V5Y,17201,8757,7915
V5Z,V5Z,22547,11399,10768
V6A,V6A,18719,10551,9286
V6B,V6B,29376,19099,16962
V6C,V6C,2554,1853,1355
V6E,V6E,26907,18399,16826
V6G,V6G,27198,18893,17691
V6H,V6H,17848,10467,10075
V6J,V6J,22188,13162,12426
V6K,V6K,26424,14875,13812
V6L,V6L,10479,4082,3716
V6M,V6M,16348,7443,6905
V6N,V6N,14057,5302,4794
V6P,V6P,30697,13465,12718
V6R,V6R,19416,9124,8303
V6S,V6S,12152,5384,4599
V6T,V6T,12722,6489,4648
V6V,V6V,11177,3540,3467
V6W,V6W,1628,773,684
V6X,V6X,33695,14352,13000
V6Y,V6Y,47768,20586,19618
V6Z,V6Z,17832,11392,10125
V7A,V7A,26618,9316,8892
V7B,V7B,814,302,298
V7C,V7C,39252,14742,13958
V7E,V7E,37357,13867,13540
V7G,V7G,11673,4605,4408
V7H,V7H,13232,4839,4749
V7J,V7J,16743,6570,6270
V7K,V7K,12391,4326,4177
V7L,V7L,26608,13130,12140
V7M,V7M,20181,10907,10205
V7N,V7N,14883,5844,5441
V7P,V7P,13034,5719,5454
V7R,V7R,14770,5275,4980
V7S,V7S,10521,4350,3721
V7T,V7T,9274,4185,3847
V7V,V7V,14952,7179,6541
V7W,V7W,8611,3582,3222
V7X,V7X,0,1,1
V7Y,V7Y,5,1,1
V8A,V8A,18135,9122,8355
V8B,V8B,11772,4709,4489
V8C,V8C,8131,4244,3500
V8G,V8G,19144,8350,7675
V8J,V8J,12275,5746,4959
V8K,V8K,10561,5890,4845
V8L,V8L,23422,11227,10389
V8M,V8M,16168,6940,6695
V8N,V8N,25065,10410,9509
V8P,V8P,18167,8262,7695
V8R,V8R,23572,11244,10771
V8S,V8S,17102,8498,8027
V8T,V8T,20136,10141,9643
V8V,V8V,25892,16525,15380
V8W,V8W,5201,4105,3268
V8X,V8X,23811,10779,10323
V8Y,V8Y,9830,4189,3998
V8Z,V8Z,31079,12569,12095
V9A,V9A,38699,20174,19320
V9B,V9B,44244,18576,17747
V9C,V9C,22785,9135,8697
V9E,V9E,5155,2141,2035
V9G,V9G,14772,6599,6329
V9H,V9H,9304,3971,3758
V9J,V9J,8715,3810,3566
V9K,V9K,15654,8095,7249
V9L,V9L,34378,14974,14272
V9M,V9M,17208,7923,7639
V9N,V9N,30080,13970,13586
V9P,V9P,25359,12691,11946
V9R,V9R,28376,13330,12610
V9S,V9S,16641,8466,7996
V9T,V9T,33103,14084,13690
V9V,V9V,10934,4483,4347
V9W,V9W,28743,13319,12714
V9X,V9X,10300,4133,3992
V9Y,V9Y,25269,12381,11417
V9Z,V9Z,17456,7827,7137
X0A,X0A,18958,6541,5510
X0B,X0B,6543,1869,1663
X0C,X0C,10443,3023,2646
X0E,X0E,21232,9363,7499
X0G,X0G,500,210,164
X1A,X1A,20054,8093,7318
Y0A,Y0A,1641,1002,742
Y0B,Y0B,6561,4870,3122
Y1A,Y1A,27672,12115,11351
